代码, 转债名称, 现价, 溢价率, 剩余规模, 双低
128085, 鸿达转债,100.74,1.78,11.067,102.52
128127, 文科转债,97.93,10.37,9.499,108.3
110080, 东湖转债,101.65,6.67,15.5,108.32
113610, 灵康转债,106.74,3.34,5.25,110.08
113039, 嘉泽转债,105.22,5.22,11.839,110.44
128087, 孚日转债,101.1,10.16,6.498,111.26
113033, 利群转债,99.4,12.02,17.998,111.42
128013, 洪涛转债,105.484,6.87,11.59,112.35
123080, 海波转债,109.499,5.27,2.45,114.77
110071, 湖盐转债,104.66,11.05,7.199,115.71
123097, 美力转债,106.63,9.44,3,116.07
113568, 新春转债,108.8,7.47,3.299,116.27
113591, 胜达转债,103.88,12.69,5.497,116.57
113549, 白电转债,103.35,13.3,8.799,116.65
123086, 海兰转债,105.293,11.76,7.3,117.05
123071, 天能转债,109.43,7.74,7,117.17
113534, 鼎胜转债,102.35,14.83,11.986,117.18
128034, 江银转债,105.231,12.52,17.581,117.75
128107, 交科转债,108.9,9.93,24.997,118.83
128066, 亚泰转债,100.297,18.57,4.798,118.87
